"name";"state";"state_code";"type";"in_state_tuition";"early_career_pay"
"Wheeling Jesuit University";"West Virginia";"WV";"Private";29290;44800
"Whitman College";"Washington";"WA";"Private";51764;54600
"Whitworth University";"Washington";"WA";"Private";43640;49900
"Wichita State University";"Kansas";"KS";"Public";8271;48700
"Widener University";"Pennsylvania";"PA";"Private";45948;55700
"Willamette University";"Oregon";"OR";"Private";50074;52200
"William Carey University";"Mississippi";"MS";"Private";12600;41100
"William Jewell College";"Missouri";"MO";"Private";34400;51400
"William Paterson University of New Jersey";"New Jersey";"NJ";"Public";13060;50500
"William Penn University";"Iowa";"IA";"Private";25600;43900
"Williams College";"Massachusetts";"MA";"Private";55450;67500
"Wilmington University";"Delaware";"DE";"Private";11210;45100
"Winona State University";"Minnesota";"MN";"Public";9425;49700
"Winthrop University";"South Carolina";"SC";"Public";15590;44300
"Wisconsin Lutheran College";"Wisconsin";"WI";"Private";29725;46200
"Wittenberg University";"Ohio";"OH";"Private";39500;52400
"Wofford College";"South Carolina";"SC";"Private";43845;51300
"Worcester Polytechnic Institute";"Massachusetts";"MA";"Private";50530;73600
"Xavier University";"Ohio";"OH";"Private";38530;51800
"Xavier University of Louisiana";"Louisiana";"LA";"Private";24488;46700
"Yale University";"Connecticut";"CT";"Private";53430;70300
"Yeshiva University";"New York";"NY";"Private";43500;63500
