Região metropolitana;População residente;População em área urbana;População em área não urbanizada;População em área isolada;Área rural;Aglomerado urbano;Povoado;Núcleo;Outros aglomerados;Código unidade
Lauro de Freitas;163449;163449;;;;;;;;2919207
Homens;79276;79276;;;;;;;;2919207
Mulheres;84173;84173;;;;;;;;2919207
Madre de Deus;17376;16854;;;522;;;;;2919926
Homens;8377;8117;;;260;;;;;2919926
Mulheres;8999;8737;;;262;;;;;2919926
Mata de São João;40183;27638;;2187;9675;;265;418;;2921005
Homens;19879;13382;;1072;5074;;134;217;;2921005
Mulheres;20304;14256;;1115;4601;;131;201;;2921005
Pojuca;33066;28378;;;4688;;;;;2925204
Homens;16078;13603;;;2475;;;;;2925204
Mulheres;16988;14775;;;2213;;;;;2925204
Salvador;2675656;2674923;;;733;;;;;2927408
Homens;1248897;1248513;;;384;;;;;2927408
Mulheres;1426759;1426410;;;349;;;;;2927408
São Francisco do Conde;33183;23908;;3483;5792;;;;;2929206
Homens;16203;11644;;1696;2863;;;;;2929206
Mulheres;16980;12264;;1787;2929;;;;;2929206
São Sebastião do Passé;42153;33112;;;8783;;258;;;2929503
Homens;20708;15941;;;4642;;125;;;2929503
Mulheres;21445;17171;;;4141;;133;;;2929503
Simões Filho;118047;95043;;10768;9023;1836;1377;;;2930709
Homens;58013;46312;;5312;4695;917;777;;;2930709
Mulheres;60034;48731;;5456;4328;919;600;;;2930709
Vera Cruz;37567;18628;;16616;1727;;596;;;2933208
Homens;18722;9193;;8329;907;;293;;;2933208
Mulheres;18845;9435;;8287;820;;303;;;2933208
Belo Horizonte  MG;5414701;5115006;62262;106062;91916;28302;9848;;1305;5
Homens;2605409;2448201;33661;53919;49759;14132;5066;;671;5
Mulheres;2809292;2666805;28601;52143;42157;14170;4782;;634;5
Baldim;7913;5067;;;1882;;964;;;3105004
Homens;3941;2456;;;993;;492;;;3105004
Mulheres;3972;2611;;;889;;472;;;3105004
Barão de Cocais;28442;25215;571;;2317;;339;;;3105400
Homens;14070;12415;261;;1220;;174;;;3105400
Mulheres;14372;12800;310;;1097;;165;;;3105400
Belo Horizonte;2375151;2374877;274;;;;;;;3106200
Homens;1113513;1113379;134;;;;;;;3106200
Mulheres;1261638;1261498;140;;;;;;;3106200
Belo Vale;7536;3295;;;4241;;;;;3106408
Homens;3776;1607;;;2169;;;;;3106408
Mulheres;3760;1688;;;2072;;;;;3106408
Betim;378089;373310;2021;;2758;;;;;3106705
Homens;186352;183554;1356;;1442;;;;;3106705
Mulheres;191737;189756;665;;1316;;;;;3106705
Bonfim;6818;3332;;;3486;;;;;3108107
Homens;3423;1623;;;1800;;;;;3108107
Mulheres;3395;1709;;;1686;;;;;3108107
Brumadinho;33973;19963;895;7784;4711;527;;;93;3109006
Homens;17023;9793;454;3961;2488;277;;;50;3109006
Mulheres;16950;10170;441;3823;2223;250;;;43;3109006
Caeté;40750;35436;;;4623;;511;;180;3110004
Homens;19827;17078;;;2396;;252;;101;3110004
Mulheres;20923;18358;;;2227;;259;;79;3110004
Capim Branco;8881;8090;;;561;;230;;;3112505
Homens;4414;3984;;;314;;116;;;3112505
Mulheres;4467;4106;;;247;;114;;;3112505
Confins;5936;5416;520;;;;;;;3117876
Homens;2923;2661;262;;;;;;;3117876
Mulheres;3013;2755;258;;;;;;;3117876
Contagem;603442;550999;3938;46463;1015;1027;;;;3118601
Homens;292798;265990;1991;23728;559;530;;;;3118601
Mulheres;310644;285009;1947;22735;456;497;;;;3118601
Esmeraldas;60271;25899;1242;29074;3987;69;;;;3124104
Homens;30270;12725;644;14751;2117;33;;;;3124104
Mulheres;30001;13174;598;14323;1870;36;;;;3124104
Florestal;6600;5050;;454;1096;;;;;3126000
Homens;3245;2429;;231;585;;;;;3126000
Mulheres;3355;2621;;223;511;;;;;3126000
Fortuna de Minas;2705;1865;;;840;;;;;3126406
Homens;1394;945;;;449;;;;;3126406
Mulheres;1311;920;;;391;;;;;3126406
Funilândia;3855;2029;;;998;;828;;;3127206
Homens;1958;996;;;547;;415;;;3127206
Mulheres;1897;1033;;;451;;413;;;3127206
Ibirité;158954;158471;119;;364;;;;;3129806
Homens;77839;77580;64;;195;;;;;3129806
Mulheres;81115;80891;55;;169;;;;;3129806
Igarapé;34851;32661;;;2190;;;;;3130101
Homens;17520;16360;;;1160;;;;;3130101
Mulheres;17331;16301;;;1030;;;;;3130101
Inhaúma;5760;4206;;;1554;;;;;3131000
Homens;2909;2098;;;811;;;;;3131000
Mulheres;2851;2108;;;743;;;;;3131000
Itabirito;45449;42191;184;1191;1737;;;;146;3131901
Homens;22337;20588;103;632;944;;;;70;3131901
Mulheres;23112;21603;81;559;793;;;;76;3131901
Itaguara;12372;9526;;;2625;;221;;;3132206
Homens;6267;4700;;;1457;;110;;;3132206
Mulheres;6105;4826;;;1168;;111;;;3132206
Itatiaiuçu;9928;6221;;;2984;;723;;;3133709
Homens;5043;3066;;;1616;;361;;;3133709
Mulheres;4885;3155;;;1368;;362;;;3133709
Itaúna;85463;80392;59;;4004;;1008;;;3133808
Homens;42099;39394;34;;2131;;540;;;3133808
Mulheres;43364;40998;25;;1873;;468;;;3133808
Jaboticatubas;17134;6626;2831;1283;5749;76;513;;56;3134608
Homens;8705;3244;1366;707;3060;34;260;;34;3134608
Mulheres;8429;3382;1465;576;2689;42;253;;22;3134608
Juatuba;22202;19499;2328;;375;;;;;3136652
Homens;11217;9798;1225;;194;;;;;3136652
Mulheres;10985;9701;1103;;181;;;;;3136652
Lagoa Santa;52520;44890;2427;1632;1276;2295;;;;3137601
Homens;25735;21854;1207;823;651;1200;;;;3137601
Mulheres;26785;23036;1220;809;625;1095;;;;3137601
Mário Campos;13192;10957;1501;;734;;;;;3140159
Homens;6641;5488;770;;383;;;;;3140159
Mulheres;6551;5469;731;;351;;;;;3140159
Mateus Leme;27856;23831;848;;2651;;526;;;3140704
Homens;13813;11733;428;;1376;;276;;;3140704
Mulheres;14043;12098;420;;1275;;250;;;3140704
Matozinhos;33955;30877;;;1522;1556;;;;3141108
Homens;16758;15180;;;818;760;;;;3141108
Mulheres;17197;15697;;;704;796;;;;3141108
Moeda;4689;1789;;;2714;;186;;;3142304
Homens;2343;857;;;1390;;96;;;3142304
Mulheres;2346;932;;;1324;;90;;;3142304
Nova Lima;80998;73908;5324;;628;1138;;;;3144805
Homens;39151;35534;2695;;353;569;;;;3144805
Mulheres;41847;38374;2629;;275;569;;;;3144805
Nova União;5555;1443;;1429;1879;118;686;;;3136603
Homens;2796;683;;722;967;64;360;;;3136603
Mulheres;2759;760;;707;912;54;326;;;3136603
Pará de Minas;84215;79025;509;65;3980;;636;;;3147105
Homens;41639;38741;258;36;2279;;325;;;3147105
Mulheres;42576;40284;251;29;1701;;311;;;3147105
Pedro Leopoldo;58740;45485;1303;3165;2003;6784;;;;3149309
Homens;28746;22125;670;1568;1050;3333;;;;3149309
Mulheres;29994;23360;633;1597;953;3451;;;;3149309
Prudente de Morais;9573;9122;77;;374;;;;;3153608
Homens;4736;4484;45;;207;;;;;3153608
Mulheres;4837;4638;32;;167;;;;;3153608
Raposos;15342;14433;119;;235;555;;;;3153905
Homens;7386;6949;52;;126;259;;;;3153905
Mulheres;7956;7484;67;;109;296;;;;3153905
Ribeirão das Neves;296317;272088;22065;;37;2127;;;;3154606
Homens;146982;132900;12998;;20;1064;;;;3154606
Mulheres;149335;139188;9067;;17;1063;;;;3154606
Rio Acima;9090;7944;;;633;513;;;;3154804
Homens;4469;3880;;;333;256;;;;3154804
Mulheres;4621;4064;;;300;257;;;;3154804
Rio Manso;5276;2810;;;2020;;446;;;3155306
Homens;2773;1438;;;1095;;240;;;3155306
Mulheres;2503;1372;;;925;;206;;;3155306
Sabará;126269;113195;1131;8758;3185;;;;;3156700
Homens;60828;54176;553;4351;1748;;;;;3156700
Mulheres;65441;59019;578;4407;1437;;;;;3156700
Santa Bárbara;27876;24794;;;2012;1070;;;;3157203
Homens;13670;12104;;;1044;522;;;;3157203
Mulheres;14206;12690;;;968;548;;;;3157203
Santa Luzia;202942;195589;6789;;564;;;;;3157807
Homens;98485;94716;3486;;283;;;;;3157807
Mulheres;104457;100873;3303;;281;;;;;3157807
São Joaquim de Bicas;25537;18599;;;3697;3241;;;;3162922
Homens;13741;9280;;;2835;1626;;;;3162922
Mulheres;11796;9319;;;862;1615;;;;3162922
São José da Lapa;19799;10408;;992;647;7206;546;;;3162955
Homens;9826;5092;;488;362;3605;279;;;3162955
Mulheres;9973;5316;;504;285;3601;267;;;3162955
São José da Varginha;4198;2372;;;1402;;424;;;3163102
Homens;2133;1164;;;744;;225;;;3163102
Mulheres;2065;1208;;;658;;199;;;3163102
Sarzedo;25814;24934;598;;282;;;;;3165537
Homens;12871;12413;304;;154;;;;;3165537
Mulheres;12943;12521;294;;128;;;;;3165537
Sete Lagoas;214152;204546;933;3477;3588;;778;;830;3167202
Homens;103991;99024;476;1763;1917;;395;;416;3167202
Mulheres;110161;105522;457;1714;1671;;383;;414;3167202
Taquaraçu de Minas;3794;1460;;295;1756;;283;;;3168309
Homens;2027;742;;158;977;;150;;;3168309
Mulheres;1767;718;;137;779;;133;;;3168309
Vespasiano;104527;100871;3656;;;;;;;3171204
Homens;51006;49181;1825;;;;;;;3171204
Mulheres;53521;51690;1831;;;;;;;3171204
Vale do Aço  MG;615297;539851;3624;19499;44866;2805;4262;390;;14
Homens;300645;262090;1805;9760;23220;1408;2150;212;;14
Mulheres;314652;277761;1819;9739;21646;1397;2112;178;;14
Açucena;10276;4805;;;5139;;332;;;3100500
Homens;5228;2366;;;2691;;171;;;3100500
Mulheres;5048;2439;;;2448;;161;;;3100500
Antônio Dias;9565;4308;;364;4167;;386;340;;3103009
Homens;4829;2077;;186;2176;;208;182;;3103009
Mulheres;4736;2231;;178;1991;;178;158;;3103009
Belo Oriente;23397;19682;;;3715;;;;;3106309
Homens;11621;9762;;;1859;;;;;3106309
Mulheres;11776;9920;;;1856;;;;;3106309
Braúnas;5030;1593;;;3387;;;50;;3108800
Homens;2463;743;;;1690;;;30;;3108800
Mulheres;2567;850;;;1697;;;20;;3108800
Bugre;3992;1531;;;1295;;1166;;;3109253
Homens;2030;754;;;692;;584;;;3109253
Mulheres;1962;777;;;603;;582;;;3109253
Coronel Fabriciano;103694;102276;119;;731;;568;;;3119401
Homens;50035;49322;56;;375;;282;;;3119401
Mulheres;53659;52954;63;;356;;286;;;3119401
Córrego Novo;3127;2038;;;1089;;;;;3120003
Homens;1555;994;;;561;;;;;3120003
Mulheres;1572;1044;;;528;;;;;3120003
Dionísio;8739;7165;;;1574;;;;;3121803
Homens;4301;3484;;;817;;;;;3121803
Mulheres;4438;3681;;;757;;;;;3121803
Dom Cavati;5209;4607;;;602;;;;;3122504
Homens;2536;2224;;;312;;;;;3122504
Mulheres;2673;2383;;;290;;;;;3122504
Entre Folhas;5175;3889;;;1286;;;;;3123858
Homens;2570;1908;;;662;;;;;3123858
Mulheres;2605;1981;;;624;;;;;3123858
Iapu;10315;7164;;;3151;;;;;3129301
Homens;5132;3469;;;1663;;;;;3129301
Mulheres;5183;3695;;;1488;;;;;3129301
Ipaba;16708;15028;;;1073;;607;;;3131158
Homens;8411;7533;;;588;;290;;;3131158
Mulheres;8297;7495;;;485;;317;;;3131158
Ipatinga;239468;236968;;;962;1538;;;;3131307
Homens;116209;114954;;;487;768;;;;3131307
Mulheres;123259;122014;;;475;770;;;;3131307
Jaguaraçu;2990;2138;;;852;;;;;3135001
Homens;1508;1061;;;447;;;;;3135001
Mulheres;1482;1077;;;405;;;;;3135001
Joanésia;5425;2062;;;3153;;210;;;3136108
Homens;2699;1002;;;1588;;109;;;3136108
Mulheres;2726;1060;;;1565;;101;;;3136108
Marliéria;4012;2844;;;1168;;;;;3140308
Homens;1997;1423;;;574;;;;;3140308
Mulheres;2015;1421;;;594;;;;;3140308
Mesquita;6069;3819;;;2250;;;;;3141702
Homens;3029;1863;;;1166;;;;;3141702
Mulheres;3040;1956;;;1084;;;;;3141702
Naque;6341;5961;;;380;;;;;3144359
Homens;3194;2985;;;209;;;;;3144359
Mulheres;3147;2976;;;171;;;;;3144359
Periquito;7036;5289;;;754;;993;;;3149952
Homens;3452;2559;;;387;;506;;;3149952
Mulheres;3584;2730;;;367;;487;;;3149952
Pingod'Água;4420;4035;;;385;;;;;3150539
Homens;2199;1992;;;207;;;;;3150539
Mulheres;2221;2043;;;178;;;;;3150539
Santana do Paraíso;27265;9051;;16200;1261;753;;;;3158953
Homens;13663;4485;;8132;670;376;;;;3158953
Mulheres;13602;4566;;8068;591;377;;;;3158953
São João do Oriente;7874;6325;;;1549;;;;;3162609
Homens;3907;3090;;;817;;;;;3162609
Mulheres;3967;3235;;;732;;;;;3162609
São José do Goiabal;5636;3689;;;1947;;;;;3163409
Homens;2732;1743;;;989;;;;;3163409
Mulheres;2904;1946;;;958;;;;;3163409
Sobrália;5830;4114;;15;1701;;;;;3167707
Homens;2857;1964;;10;883;;;;;3167707
Mulheres;2973;2150;;5;818;;;;;3167707
Timóteo;81243;74702;3502;2920;119;;;;;3168705
Homens;39193;35953;1747;1432;61;;;;;3168705
Mulheres;42050;38749;1755;1488;58;;;;;3168705
Vargem Alegre;6461;4768;3;;1176;514;;;;3170578
Homens;3295;2380;2;;649;264;;;;3170578
Mulheres;3166;2388;1;;527;250;;;;3170578
Grande Vitória  ES;1687704;1636326;20507;2174;19839;8734;124;;;11
Homens;817641;789524;10814;1087;11834;4317;65;;;11
Mulheres;870063;846802;9693;1087;8005;4417;59;;;11
Cariacica;348738;332590;5053;;2528;8567;;;;3201308
Homens;169958;161746;2628;;1343;4241;;;;3201308
Mulheres;178780;170844;2425;;1185;4326;;;;3201308
Fundão;17025;14378;;;2647;;;;;3202207
Homens;8489;7076;;;1413;;;;;3202207
Mulheres;8536;7302;;;1234;;;;;3202207
Guarapari;105286;95753;4775;;4467;167;124;;;3202405
Homens;51494;46516;2469;;2368;76;65;;;3202405
Mulheres;53792;49237;2306;;2099;91;59;;;3202405
Serra;409267;401674;3955;821;2817;;;;;3205002
Homens;201415;197192;2028;421;1774;;;;;3205002
Mulheres;207852;204482;1927;400;1043;;;;;3205002
Viana;65001;56987;1292;1353;5369;;;;;3205101
Homens;33191;27856;953;666;3716;;;;;3205101
Mulheres;31810;29131;339;687;1653;;;;;3205101
Vila Velha;414586;407287;5288;;2011;;;;;3205200
Homens;199146;195264;2662;;1220;;;;;3205200
Mulheres;215440;212023;2626;;791;;;;;3205200
Vitória;327801;327657;144;;;;;;;3205309
Homens;153948;153874;74;;;;;;;3205309
Mulheres;173853;173783;70;;;;;;;3205309
Rio de Janeiro  RJ;11835708;11752169;23576;1752;40946;11831;4674;;760;6
Homens;5603352;5560730;11733;895;21324;5846;2366;;458;6
Mulheres;6232356;6191439;11843;857;19622;5985;2308;;302;6
Belford Roxo;469332;469134;198;;;;;;;3300456
Homens;226757;226658;99;;;;;;;3300456
Mulheres;242575;242476;99;;;;;;;3300456
Duque de Caxias;855048;852124;14;;2724;;186;;;3301702
Homens;411074;409528;9;;1435;;102;;;3301702
Mulheres;443974;442596;5;;1289;;84;;;3301702
Guapimirim;51483;49746;;;819;;918;;;3301850
Homens;25280;24394;;;417;;469;;;3301850
Mulheres;26203;25352;;;402;;449;;;3301850
Itaboraí;218008;207410;8002;;2596;;;;;3301900
Homens;106190;100892;3958;;1340;;;;;3301900
Mulheres;111818;106518;4044;;1256;;;;;3301900
Itaguaí;109091;104209;;;3801;154;927;;;3302007
Homens;54409;51783;;;2065;83;478;;;3302007
Mulheres;54682;52426;;;1736;71;449;;;3302007
Japeri;95492;91313;4179;;;;;;;3302270
Homens;48080;45992;2088;;;;;;;3302270
Mulheres;47412;45321;2091;;;;;;;3302270
Magé;227322;212721;2515;;8234;1209;2643;;;3302502
Homens;110576;103210;1269;;4145;635;1317;;;3302502
Mulheres;116746;109511;1246;;4089;574;1326;;;3302502
Maricá;127461;125491;;;1970;;;;;3302700
Homens;62649;61647;;;1002;;;;;3302700
Mulheres;64812;63844;;;968;;;;;3302700
Mesquita;168376;168290;86;;;;;;;3302858
Homens;79790;79741;49;;;;;;;3302858
Mulheres;88586;88549;37;;;;;;;3302858
Nilópolis;157425;157425;;;;;;;;3303203
Homens;73674;73674;;;;;;;;3303203
Mulheres;83751;83751;;;;;;;;3303203
Niterói;487562;487562;;;;;;;;3303302
Homens;225838;225838;;;;;;;;3303302
Mulheres;261724;261724;;;;;;;;3303302
Nova Iguaçu;796257;787062;501;;8694;;;;;3303500
Homens;381750;377079;257;;4414;;;;;3303500
Mulheres;414507;409983;244;;4280;;;;;3303500
Paracambi;47124;41722;;;3986;656;;;760;3303609
Homens;23793;20785;;;2220;330;;;458;3303609
Mulheres;23331;20937;;;1766;326;;;302;3303609
Queimados;137962;133468;4494;;;;;;;3304144
Homens;66585;64369;2216;;;;;;;3304144
Mulheres;71377;69099;2278;;;;;;;3304144
Rio de Janeiro;6320446;6317451;2995;;;;;;;3304557
Homens;2959817;2958330;1487;;;;;;;3304557
Mulheres;3360629;3359121;1508;;;;;;;3304557
São Gonçalo;999728;998999;;;729;;;;;3304904
Homens;475264;474894;;;370;;;;;3304904
Mulheres;524464;524105;;;359;;;;;3304904
São João de Meriti;458673;458673;;;;;;;;3305109
Homens;218104;218104;;;;;;;;3305109
Mulheres;240569;240569;;;;;;;;3305109
Seropédica;78186;61941;592;1752;4089;9812;;;;3305554
Homens;38433;30249;301;895;2190;4798;;;;3305554
Mulheres;39753;31692;291;857;1899;5014;;;;3305554
Tanguá;30732;27428;;;3304;;;;;3305752
Homens;15289;13563;;;1726;;;;;3305752
Mulheres;15443;13865;;;1578;;;;;3305752
Baixada Santista  SP;1664136;1653640;4056;2979;2754;536;152;19;;12
Homens;796701;790910;2404;1514;1513;279;71;10;;12
Mulheres;867435;862730;1652;1465;1241;257;81;9;;12
Bertioga;47645;46867;;;223;536;;19;;3506359
Homens;23829;23426;;;114;279;;10;;3506359
Mulheres;23816;23441;;;109;257;;9;;3506359
Cubatão;118720;118305;415;;;;;;;3513504
Homens;59229;59009;220;;;;;;;3513504
Mulheres;59491;59296;195;;;;;;;3513504
Guarujá;290752;289498;1198;;56;;;;;3518701
Homens;141711;141075;607;;29;;;;;3518701
Mulheres;149041;148423;591;;27;;;;;3518701
Itanhaém;87057;86116;;126;815;;;;;3522109
Homens;42192;41674;;68;450;;;;;3522109
Mulheres;44865;44442;;58;365;;;;;3522109
Mongaguá;46293;46091;;;202;;;;;3531100
Homens;23098;22997;;;101;;;;;3531100
Mulheres;23195;23094;;;101;;;;;3531100
Peruíbe;59773;59105;;;668;;;;;3537602
Homens;29140;28769;;;371;;;;;3537602
Mulheres;30633;30336;;;297;;;;;3537602
Praia Grande;262051;262051;;;;;;;;3541000
Homens;125926;125926;;;;;;;;3541000
Mulheres;136125;136125;;;;;;;;3541000
Santos;419400;416233;;2853;162;;152;;;3548500
Homens;191912;190308;;1446;87;;71;;;3548500
Mulheres;227488;225925;;1407;75;;81;;;3548500
São Vicente;332445;329374;2443;;628;;;;;3551009
Homens;159664;157726;1577;;361;;;;;3551009
Mulheres;172781;171648;866;;267;;;;;3551009
Campinas  SP;2797137;2656549;52691;16053;40032;23751;1402;393;6266;15
Homens;1373996;1302325;26396;8298;21038;11899;701;211;3128;15
Mulheres;1423141;1354224;26295;7755;18994;11852;701;182;3138;15
Americana;210638;209654;;;591;;;393;;3501608
Homens;103174;102644;;;319;;;211;;3501608
Mulheres;107464;107010;;;272;;;182;;3501608
Artur Nogueira;44177;39909;43;46;3648;187;;;344;3503802
Homens;22075;19855;22;19;1893;104;;;182;3503802
Mulheres;22102;20054;21;27;1755;83;;;162;3503802
Campinas;1080113;1052040;9500;;8444;8380;;;1749;3509502
Homens;520865;506725;4758;;4407;4108;;;867;3509502
Mulheres;559248;545315;4742;;4037;4272;;;882;3509502
Cosmópolis;58827;53836;;798;1999;2194;;;;3512803
Homens;29410;26863;;408;1043;1096;;;;3512803
Mulheres;29417;26973;;390;956;1098;;;;3512803
Engenheiro Coelho;15721;10333;1165;;2153;;;;2070;3515152
Homens;8233;5461;633;;1128;;;;1011;3515152
Mulheres;7488;4872;532;;1025;;;;1059;3515152
Holambra;11299;6185;357;1642;3115;;;;;3519055
Homens;5725;3024;188;877;1636;;;;;3519055
Mulheres;5574;3161;169;765;1479;;;;;3519055
Hortolândia;192692;192330;362;;;;;;;3519071
Homens;97439;97256;183;;;;;;;3519071
Mulheres;95253;95074;179;;;;;;;3519071
Indaiatuba;201619;199075;;517;2027;;;;;3520509
Homens;100178;98840;;261;1077;;;;;3520509
Mulheres;101441;100235;;256;950;;;;;3520509
Itatiba;101471;75378;10288;;4887;9532;;;1386;3523404
Homens;50147;36989;5073;;2571;4799;;;715;3523404
Mulheres;51324;38389;5215;;2316;4733;;;671;3523404
Jaguariúna;44311;37240;4528;1265;1278;;;;;3524709
Homens;22004;18387;2269;669;679;;;;;3524709
Mulheres;22307;18853;2259;596;599;;;;;3524709
Monte Mor;48949;43764;1995;219;869;721;1381;;;3531803
Homens;24472;21822;1010;108;440;402;690;;;3531803
Mulheres;24477;21942;985;111;429;319;691;;;3531803
Nova Odessa;51242;48260;;2147;835;;;;;3533403
Homens;25345;23773;;1128;444;;;;;3533403
Mulheres;25897;24487;;1019;391;;;;;3533403
Paulínia;82146;81555;515;;76;;;;;3536505
Homens;40668;40361;267;;40;;;;;3536505
Mulheres;41478;41194;248;;36;;;;;3536505
Pedreira;41558;32898;8022;289;349;;;;;3537107
Homens;20605;16210;4048;150;197;;;;;3537107
Mulheres;20953;16688;3974;139;152;;;;;3537107
Santa Bárbara d'Oeste;180009;175508;391;2697;1392;;21;;;3545803
Homens;89222;86878;200;1410;723;;11;;;3545803
Mulheres;90787;88630;191;1287;669;;10;;;3545803
Santo Antônio de Posse;20650;18177;;657;1816;;;;;3548005
Homens;10412;9081;;348;983;;;;;3548005
Mulheres;10238;9096;;309;833;;;;;3548005
Sumaré;241311;235441;1609;1420;1601;1240;;;;3552403
Homens;119863;116835;847;699;853;629;;;;3552403
Mulheres;121448;118606;762;721;748;611;;;;3552403
Valinhos;106793;88001;9269;4356;4450;;;;717;3556206
Homens;52676;43127;4626;2221;2349;;;;353;3556206
Mulheres;54117;44874;4643;2135;2101;;;;364;3556206
Vinhedo;63611;56965;4647;;502;1497;;;;3556701
Homens;31483;28194;2272;;256;761;;;;3556701
Mulheres;32128;28771;2375;;246;736;;;;3556701
São Paulo  SP;19683975;19091568;253841;113479;146008;71039;5604;23;2413;7
Homens;9433605;9130119;128841;57193;78348;35153;2732;14;1205;7
Mulheres;10250370;9961449;125000;56286;67660;35886;2872;9;1208;7
Arujá;74905;71916;;;2952;;;;37;3503901
Homens;36939;35341;;;1579;;;;19;3503901
Mulheres;37966;36575;;;1373;;;;18;3503901
Barueri;240749;240294;455;;;;;;;3505708
Homens;117051;116843;208;;;;;;;3505708
Mulheres;123698;123451;247;;;;;;;3505708
BiritibaMirim;28575;19211;5314;;4050;;;;;3506607
Homens;14413;9572;2750;;2091;;;;;3506607
Mulheres;14162;9639;2564;;1959;;;;;3506607
Caieiras;86529;82850;;1536;867;;;;1276;3509007
Homens;42298;40413;;801;445;;;;639;3509007
Mulheres;44231;42437;;735;422;;;;637;3509007
Cajamar;64114;58916;3907;;1291;;;;;3509205
Homens;31997;29304;2022;;671;;;;;3509205
Mulheres;32117;29612;1885;;620;;;;;3509205
Carapicuíba;369584;369584;;;;;;;;3510609
Homens;179284;179284;;;;;;;;3510609
Mulheres;190300;190300;;;;;;;;3510609
Cotia;201150;161821;39329;;;;;;;3513009
Homens;98455;78808;19647;;;;;;;3513009
Mulheres;102695;83013;19682;;;;;;;3513009
Diadema;386089;386089;;;;;;;;3513801
Homens;186803;186803;;;;;;;;3513801
Mulheres;199286;199286;;;;;;;;3513801
Embu;240230;240230;;;;;;;;3515004
Homens;116728;116728;;;;;;;;3515004
Mulheres;123502;123502;;;;;;;;3515004
EmbuGuaçu;62769;38856;22239;;1674;;;;;3515103
Homens;31186;19086;11224;;876;;;;;3515103
Mulheres;31583;19770;11015;;798;;;;;3515103
Ferraz de Vasconcelos;168306;160754;;;4324;3228;;;;3515707
Homens;82143;78255;;;2264;1624;;;;3515707
Mulheres;86163;82499;;;2060;1604;;;;3515707
Francisco Morato;154472;151748;2410;;314;;;;;3516309
Homens;76636;75195;1279;;162;;;;;3516309
Mulheres;77836;76553;1131;;152;;;;;3516309
Franco da Rocha;131604;120009;1139;96;10276;;;;84;3516408
Homens;67462;58923;619;52;7828;;;;40;3516408
Mulheres;64142;61086;520;44;2448;;;;44;3516408
Guararema;25844;14396;591;7253;3604;;;;;3518305
Homens;12998;7073;319;3675;1931;;;;;3518305
Mulheres;12846;7323;272;3578;1673;;;;;3518305
Guarulhos;1221979;1217280;4699;;;;;;;3518800
Homens;595043;592661;2382;;;;;;;3518800
Mulheres;626936;624619;2317;;;;;;;3518800
Itapecerica da Serra;152614;131664;19685;;1265;;;;;3522208
Homens;76270;64188;11438;;644;;;;;3522208
Mulheres;76344;67476;8247;;621;;;;;3522208
Itapevi;200769;200769;;;;;;;;3522505
Homens;98746;98746;;;;;;;;3522505
Mulheres;102023;102023;;;;;;;;3522505
Itaquaquecetuba;321770;321770;;;;;;;;3523107
Homens;158542;158542;;;;;;;;3523107
Mulheres;163228;163228;;;;;;;;3523107
Jandira;108344;108344;;;;;;;;3525003
Homens;53063;53063;;;;;;;;3525003
Mulheres;55281;55281;;;;;;;;3525003
Juquitiba;28737;10455;11785;;6497;;;;;3526209
Homens;14543;5075;6031;;3437;;;;;3526209
Mulheres;14194;5380;5754;;3060;;;;;3526209
Mairiporã;80956;31259;;39491;10157;26;;23;;3528502
Homens;40975;15275;;20192;5481;13;;14;;3528502
Mulheres;39981;15984;;19299;4676;13;;9;;3528502
Mauá;417064;417064;;;;;;;;3529401
Homens;204093;204093;;;;;;;;3529401
Mulheres;212971;212971;;;;;;;;3529401
Mogi das Cruzes;387779;320362;16201;20750;18971;11495;;;;3530607
Homens;188857;154246;8248;10699;9933;5731;;;;3530607
Mulheres;198922;166116;7953;10051;9038;5764;;;;3530607
Osasco;666740;666740;;;;;;;;3534401
Homens;320436;320436;;;;;;;;3534401
Mulheres;346304;346304;;;;;;;;3534401
Pirapora do Bom Jesus;15733;2811;12922;;;;;;;3539103
Homens;7818;1361;6457;;;;;;;3539103
Mulheres;7915;1450;6465;;;;;;;3539103
Poá;106013;104338;;;1068;607;;;;3539806
Homens;51292;50443;;;552;297;;;;3539806
Mulheres;54721;53895;;;516;310;;;;3539806
Ribeirão Pires;113068;113068;;;;;;;;3543303
Homens;55318;55318;;;;;;;;3543303
Mulheres;57750;57750;;;;;;;;3543303
Rio Grande da Serra;43974;43974;;;;;;;;3544103
Homens;21804;21804;;;;;;;;3544103
Mulheres;22170;22170;;;;;;;;3544103
Salesópolis;15635;9303;;651;5681;;;;;3545001
Homens;7906;4559;;328;3019;;;;;3545001
Mulheres;7729;4744;;323;2662;;;;;3545001
Santa Isabel;50453;37125;;2466;10203;;;;659;3546801
Homens;25248;18250;;1274;5383;;;;341;3546801
Mulheres;25205;18875;;1192;4820;;;;318;3546801
Santana de Parnaíba;108813;76470;32343;;;;;;;3547304
Homens;53671;37487;16184;;;;;;;3547304
Mulheres;55142;38983;16159;;;;;;;3547304
Santo André;676407;673068;3339;;;;;;;3547809
Homens;324458;322767;1691;;;;;;;3547809
Mulheres;351949;350301;1648;;;;;;;3547809
São Bernardo do Campo;765463;728552;24106;;7201;;5604;;;3548708
Homens;369626;351105;12043;;3746;;2732;;;3548708
Mulheres;395837;377447;12063;;3455;;2872;;;3548708
São Caetano do Sul;149263;149263;;;;;;;;3548807
Homens;68853;68853;;;;;;;;3548807
