IBGE2;Município;Transf_Correntes;Transf_Capital;Receita_Total
2640;FORTUNA DE MINAS;  14736851;  598550,00;  15335401
2650;FRANCISCO BADARÓ;  18883059; 1180351,42;  20063410
2660;FRANCISCO DUMONT;  15590907;  498971,16;  16089878
2670;FRANCISCO SÁ;  43345060; 2244613,81;  45589674
2675;FRANCISCÓPOLIS;  15375525;       0,00;  15375525
2680;FREI GASPAR;  18321674;  277376,57;  18599051
2690;FREI INOCÊNCIO;  18092274;       0,00;  18092274
2695;FREI LAGONEGRO;  14224374;  466476,08;  14690850
2700;FRONTEIRA;  49522711;  708770,15;  50231481
2705;FRONTEIRA DOS VALES;  11396385; 1029080,00;  12425465
2707;FRUTA DE LEITE;  14738269;  801738,97;  15540008
2710;FRUTAL; 125121579; 4478052,62; 129599632
2720;FUNILÂNDIA;  14412871;  611662,97;  15024534
2730;GALILÉIA;  13334328;  108000,00;  13442328
2733;GAMELEIRAS;  13285227;  874080,00;  14159307
2735;GLAUCILÂNDIA;  12793424;  140000,00;  12933424
2737;GOIABEIRA;  13686158; 1707306,96;  15393465
2738;GOIANÁ;  13022708;  279900,00;  13302608
2740;GONÇALVES;  13617989;  815325,00;  14433314
2750;GONZAGA;  15975733;  361448,80;  16337182
2760;GOUVEIA;  21478503;   81600,00;  21560103
2770;GOVERNADOR VALADARES; 395082911;16450753,16; 411533664
2780;GRÃO MOGOL;  39259386;  908614,38;  40168001
2790;GRUPIARA;  13032828;  251915,64;  13284744
2800;GUANHÃES;  50761313; 1487107,54;  52248420
2810;GUAPÉ;  32603045;  647012,60;  33250058
2820;GUARACIABA;  17229752;  859685,52;  18089437
2825;GUARACIAMA;  14398071;  358925,00;  14756996
2830;GUARANÉSIA;  36813224;  318991,97;  37132216
2840;GUARANI;  18645038;  239873,00;  18884911
2850;GUARARÁ;  14438504;  763710,00;  15202214
2860;GUARDA-MOR;  33181297;  828687,50;  34009985
2870;GUAXUPÉ;  70706478; 3708790,57;  74415269
2880;GUIDOVAL;  16194425; 1434661,67;  17629087
2890;GUIMARÂNIA;  18707667; 1211194,97;  19918862
2900;GUIRICEMA;  15502243; 2821634,50;  18323877
2910;GURINHATÃ;  19653632; 3543703,12;  23197336
2920;HELIODORA;  15389317;  718197,52;  16107514
2930;IAPU;  22123102;  849589,73;  22972691
2940;IBERTIOGA;  15190397;  493100,00;  15683497
2950;IBIÁ;  54801400;  549970,00;  55351370
2960;IBIAÍ;  18380541;  600119,04;  18980660
2965;IBIRACATU;  16249787; 1103097,78;  17352885
2970;IBIRACI;  35906400;  533605,73;  36440006
2980;IBIRITÉ; 292798329; 3727097,70; 296525427
2990;IBITIÚRA DE MINAS;  12553888;  421250,00;  12975138
3000;IBITURUNA;  12616230;       0,00;  12616230
3005;ICARAÍ DE MINAS;  21780822;  870000,00;  22650822
3010;IGARAPÉ;  67700889;  860380,89;  68561270
3020;IGARATINGA;  23310579; 1522410,75;  24832990
3030;IGUATAMA;  20280632;       0,00;  20280632
3040;IJACI;  25724720;       0,00;  25724720
3050;ILICÍNEA;  25084587;  235980,00;  25320567
3055;IMBÉ DE MINAS;  15239056;  630145,99;  15869202
3060;INCONFIDENTES;  15753410;  673790,00;  16427200
3065;INDAIABIRA;  18087996;  440499,50;  18528495
3070;INDIANÓPOLIS;NA;NA;         0
3080;INGAÍ;  12976204;  266940,00;  13243144
3090;INHAPIM;  41078721; 1416700,10;  42495421
3100;INHAÚMA;  17254876;       1,46;  17254878
3110;INIMUTABA;  17356877;  863808,18;  18220685
3115;IPABA;  28504379; 1441048,72;  29945427
3120;IPANEMA;  33478629; 1504114,69;  34982744
3130;IPATINGA; 457687511;12132839,85; 469820350
3140;IPIAÇU;  19611656;    9947,32;  19621603
3150;IPUIÚNA;  19162772;  320000,00;  19482772
3160;IRAÍ DE MINAS;  20986096;  289532,34;  21275628
3170;ITABIRA; 404955488; 2565507,56; 407520996
3180;ITABIRINHA;  21664011; 3084629,08;  24748640
3190;ITABIRITO; 210841702; 2565331,13; 213407033
3200;ITACAMBIRA;  14497338;   99885,00;  14597223
3210;ITACARAMBI;  43687821; 1391254,98;  45079076
3220;ITAGUARA;  24342255;  439845,59;  24782100
3230;ITAIPÉ;  24825988;  623719,22;  25449707
3240;ITAJUBÁ; 171416309; 3828213,40; 175244523
3250;ITAMARANDIBA;  61422127; 2275265,52;  63697392
3260;ITAMARATI DE MINAS;  12584396;  455756,05;  13040152
3270;ITAMBACURI;  45364313; 7510425,33;  52874738
3280;ITAMBÉ DO MATO DENTRO;  11629909;  322894,50;  11952804
3290;ITAMOGI;  24152309;  903521,00;  25055830
3300;ITAMONTE;  32973362;  410321,43;  33383683
3310;ITANHANDU;  37182983; 1570773,42;  38753757
3320;ITANHOMI;  21096799; 1009205,33;  22106004
3330;ITAOBIM;  38408996;  476620,00;  38885616
3340;ITAPAGIPE;NA;NA;         0
3350;ITAPECERICA;  33090084;       0,00;  33090084
3360;ITAPEVA;  27018532; 1186130,89;  28204663
3370;ITATIAIUÇU;  67174238;  100000,00;  67274238
3375;ITAÚ DE MINAS;  48471830;  138396,20;  48610226
3380;ITAÚNA; 142914195; 2789999,31; 145704195
3390;ITAVERAVA;  13949045;   20801,82;  13969847
3400;ITINGA;  28035904;  611096,59;  28647001
3410;ITUETA;  15737656;  236372,06;  15974029
3420;ITUIUTABA; 168260039; 2162123,77; 170422163
3430;ITUMIRIM;  13973594;  109269,71;  14082864
3440;ITURAMA; 103392889; 5356836,54; 108749725
3450;ITUTINGA;  16516397;  195669,93;  16712067
3460;JABOTICATUBAS;  33186697; 2261656,26;  35448353
3470;JACINTO;  25108892;  827675,00;  25936567
3480;JACUÍ;  17289687;  466094,00;  17755781
3490;JACUTINGA;  46253795; 1241836,43;  47495631
3500;JAGUARAÇU;  13696373;       0,00;  13696373
3505;JAÍBA;  58201867; 2038253,00;  60240120
3507;JAMPRUCA;  14335105;  572608,64;  14907714
3510;JANAÚBA; 128563956; 2197180,89; 130761136
3520;JANUÁRIA;  90314472; 1653271,23;  91967743
3530;JAPARAÍBA;  14441909;  798621,96;  15240531
3535;JAPONVAR;  18146057; 1088255,34;  19234312
3540;JECEABA;  33993247;  176573,93;  34169820
3545;JENIPAPO DE MINAS;  15503756;  122215,40;  15625971
3550;JEQUERI;  26264048;  685795,28;  26949843
3560;JEQUITAÍ;  17368786;   40011,00;  17408797
3570;JEQUITIBÁ;  15920187;  429875,00;  16350062
3580;JEQUITINHONHA;  47171792;  812633,32;  47984425
3590;JESUÂNIA;  13430504;   85000,00;  13515504
3600;JOAÍMA;  33030580;  775000,00;  33805580
3610;JOANÉSIA;  15749472;  191875,00;  15941347
3620;JOÃO MONLEVADE; 140224482; 1943637,67; 142168119
3630;JOÃO PINHEIRO;  84360576; 1524315,00;  85884891
3640;JOAQUIM FELÍCIO;  16369375;  894751,28;  17264126
3650;JORDÂNIA;  19145789; 1090400,00;  20236189
3652;JOSÉ GONÇALVES DE MINAS;  14880109;  972796,70;  15852905
3655;JOSÉ RAYDAN;  14593306;  539390,92;  15132697
3657;JOSENÓPOLIS;  14820585;  952469,15;  15773055
3665;JUATUBA;  86029491;  987117,70;  87016608
3670;JUIZ DE FORA; 809887409;40756053,51; 850643462
3680;JURAMENTO;  14241229;  662918,97;  14904148
3690;JURUAIA;  21248757;  543299,84;  21792057
3695;JUVENÍLIA;  15977077;  283940,18;  16261017
3700;LADAINHA;  33606048; 1281179,03;  34887227
3710;LAGAMAR;  18687080;  406204,72;  19093284
3720;LAGOA DA PRATA;  75725064; 2385678,96;  78110743
3730;LAGOA DOS PATOS;  14643842;  618711,21;  15262553
3740;LAGOA DOURADA;  27799984; 1311101,30;  29111085
3750;LAGOA FORMOSA;  38374186; 3381085,10;  41755271
3753;LAGOA GRANDE;  20712330; 1982456,33;  22694787
3760;LAGOA SANTA; 108588829; 8578858,26; 117167688
3770;LAJINHA;  36458552;  574569,90;  37033122
3780;LAMBARI;  33541386;  184816,13;  33726202
3790;LAMIM;  12399901;  309735,81;  12709637
3800;LARANJAL;  16404707;  158843,11;  16563550
3810;LASSANCE;  19157980;  200000,00;  19357980
3820;LAVRAS; 177424567;  747453,83; 178172021
3830;LEANDRO FERREIRA;  12188834;  457717,73;  12646552
3835;LEME DO PRADO;  15820476;  724870,76;  16545347
3840;LEOPOLDINA;  78906787; 2491353,19;  81398140
3850;LIBERDADE;  13714078;  227354,02;  13941432
3860;LIMA DUARTE;  30553765; 1171707,68;  31725472
3862;LIMEIRA DO OESTE;  23710039; 1154083,00;  24864122
3865;LONTRA;  18147907; 2500406,60;  20648313
3867;LUISBURGO;  15918103; 2818344,03;  18736447
3868;LUISLÂNDIA;  14776646;  795927,95;  15572574
3870;LUMINÁRIAS;  14202976;  917000,00;  15119976
3880;LUZ;  32132367; 1195875,72;  33328243
3890;MACHACALIS;  17306447;       0,00;  17306447
3900;MACHADO;  65610384;  134000,00;  65744384
3910;MADRE DE DEUS DE MINAS;  15179097;  175000,00;  15354097
3920;MALACACHETA;  34024184; 4132811,20;  38156995
3925;MAMONAS;  16639659;   93518,37;  16733177
3930;MANGA;  45731902; 4104451,20;  49836353
3940;MANHUAÇU; 140304383; 1340103,00; 141644486
3950;MANHUMIRIM;NA;NA;         0
3960;MANTENA;  47899617; 2656579,09;  50556196
3980;MAR DE ESPANHA;  17803338; 1683558,03;  19486896
3970;MARAVILHAS;  18270533; 1745299,33;  20015832
3990;MARIA DA FÉ;  29791148;  716501,30;  30507649
4000;MARIANA; 255496842; 3289977,98; 258786820
4010;MARILAC;  13507356; 2578567,33;  16085924
4015;MÁRIO CAMPOS;  29357625;  329903,59;  29687528
4020;MARIPÁ DE MINAS;  13862589;  725391,70;  14587981
4030;MARLIÉRIA;  16638396;  367025,00;  17005421
4040;MARMELÓPOLIS;  11593290;  251005,00;  11844295
4050;MARTINHO CAMPOS;  28318929; 2003916,00;  30322845
4053;MARTINS SOARES;  14917925; 1497619,13;  16415544
4055;MATA VERDE;  17130269;  239160,00;  17369429
4060;MATERLÂNDIA;  15077672;       0,00;  15077672
4070;MATEUS LEME;  55746591;  748655,90;  56495247
7150;MATHIAS LOBATO;  13604104;  696980,00;  14301084
4080;MATIAS BARBOSA;  42164945;  285744,39;  42450690
4085;MATIAS CARDOSO;  27005052;  440568,54;  27445621
4090;MATIPÓ;  33398970;  835139,36;  34234109
4100;MATO VERDE;  23119655; 8360367,59;  31480023
4110;MATOZINHOS;  65817252;  150000,00;  65967252
4120;MATUTINA;  13888245;  497088,82;  14385334
4130;MEDEIROS;  15940391;  262896,39;  16203287
4140;MEDINA;  35010164; 2139531,45;  37149696
4150;MENDES PIMENTEL;  15466746; 1031629,52;  16498376
4160;MERCÊS;  19125936; 2566363,07;  21692299
4170;MESQUITA;  14703497;  191808,34;  14895306
4180;MINAS NOVAS;  49258384; 1336494,70;  50594878
4190;MINDURI;  13563901;  325000,00;  13888901
4200;MIRABELA;  25764455;  851199,26;  26615654
4210;MIRADOURO;  23487970; 2318606,82;  25806577
4220;MIRAÍ;  27436369;  836376,14;  28272745
4225;MIRAVÂNIA;  15765706;  396583,59;  16162289
4230;MOEDA;  15036009;       0,00;  15036009
4240;MOEMA;  16803012; 2314742,11;  19117754
4250;MONJOLOS;  12744050;  147650,00;  12891700
4260;MONSENHOR PAULO;  18996744;  846622,00;  19843366
4270;MONTALVÂNIA;  27748194; 7187911,38;  34936106
4280;MONTE ALEGRE DE MINAS;  50742716; 3088244,97;  53830961
4290;MONTE AZUL;  35281907; 2122698,61;  37404606
4300;MONTE BELO;  24354132;  897700,13;  25251832
4310;MONTE CARMELO;  81469154; 6121633,48;  87590788
4315;MONTE FORMOSO;  14396998;  349235,17;  14746233
4320;MONTE SANTO DE MINAS;  41197976;  685114,15;  41883091
4340;MONTE SIÃO;  41111704; 1992878,37;  43104583
4330;MONTES CLAROS; 427304382; 8079626,01; 435384008
4345;MONTEZUMA;  15935018;  260000,00;  16195018
4350;MORADA NOVA DE MINAS;  28680346; 1456732,97;  30137079
4360;MORRO DA GARÇA;  14454148;  743760,98;  15197909
4370;MORRO DO PILAR;NA;NA;         0
4380;MUNHOZ;  14676958;  766293,90;  15443252
4390;MURIAÉ; 129765846;11332149,44; 141097995
4400;MUTUM;  43276067; 3428713,12;  46704780
4410;MUZAMBINHO;  30127001;  452245,38;  30579247
4420;NACIP RAYDAN;  12413566;       0,00;  12413566
4430;NANUQUE;  58330697; 1686649,65;  60017347
4435;NAQUE;  15464678;  250000,00;  15714678
4437;NATALÂNDIA;  13843891;       0,00;  13843891
4440;NATÉRCIA;  13772407; 1803758,61;  15576165
4450;NAZARENO;  22145880;  701594,00;  22847474
4460;NEPOMUCENO;  40071542; 1402705,00;  41474247
4465;NINHEIRA;  22322288;  976845,69;  23299134
4467;NOVA BELÉM;  20900125;       0,00;  20900125
4470;NOVA ERA;  31024676;  782100,00;  31806776
4480;NOVA LIMA; 353923312;  215527,23; 354138839
4490;NOVA MÓDICA;  14143661;  882274,59;  15025936
4500;NOVA PONTE;  49774288; 1187249,04;  50961537
4505;NOVA PORTEIRINHA;  17261718;  961806,22;  18223525
4510;NOVA RESENDE;  32406157; 1840000,00;  34246157
4520;NOVA SERRANA; 139820684; 2869197,14; 142689881
3660;NOVA UNIÃO;  14571881;  188590,00;  14760471
4530;NOVO CRUZEIRO;  50281869; 6664827,91;  56946697
4535;NOVO ORIENTE DE MINAS;  21228216; 1360712,02;  22588928
4537;NOVORIZONTE;  15883202;  735650,00;  16618852
4540;OLARIA;  12194860;   57683,07;  12252543
4545;OLHOS-D'ÁGUA;  17052885; 1299426,46;  18352311
4550;OLÍMPIO NORONHA;  13184768;  662397,52;  13847165
4560;OLIVEIRA;  57587334; 3277834,11;  60865168
4570;OLIVEIRA FORTES;  11882319;       0,00;  11882319
4580;ONÇA DE PITANGUI;  13369267;  306255,00;  13675522
4585;ORATÓRIOS;  16264987;  284763,64;  16549751
4587;ORIZÂNIA;  18306372;  233200,00;  18539572
4590;OURO BRANCO;  91455287;  237700,00;  91692987
4600;OURO FINO;  47683517; 1171601,00;  48855118
4610;OURO PRETO; 278721396;  990176,63; 279711573
4620;OURO VERDE DE MINAS;  14496788;  248779,88;  14745568
4625;PADRE CARVALHO;  15492525;  148284,47;  15640810
4630;PADRE PARAÍSO;  36929368; 2016268,76;  38945637
4655;PAI PEDRO;  18515472;  542826,09;  19058298
4640;PAINEIRAS;  14653447;       0,00;  14653447
4650;PAINS;  27961795; 1959468,85;  29921264
4660;PAIVA;  11243591;  195446,64;  11439037
4670;PALMA;  15384183;  892341,36;  16276525
4675;PALMÓPOLIS;  15541189; 1301592,77;  16842782
4690;PAPAGAIOS;  29340283;  672155,00;  30012438
4710;PARÁ DE MINAS; 155616732; 3751397,51; 159368129
4700;PARACATU; 172958469; 3561154,72; 176519623
4720;PARAGUAÇU;  38195385;  912527,40;  39107912
4730;PARAISÓPOLIS;  36131536; 4201878,10;  40333414
4740;PARAOPEBA;  45615876;  133115,00;  45748991
4760;PASSA QUATRO;  29740910; 6898218,51;  36639128
4770;PASSA TEMPO;  18930037;       0,00;  18930037
4750;PASSABÉM;  11305769;  150000,00;  11455769
4780;PASSA-VINTE;  12789034;  110000,00;  12899034
4790;PASSOS; 129582343; 5388134,03; 134970477
4795;PATIS;  16335722;  933525,22;  17269247
4800;PATOS DE MINAS; 268506920; 6208891,23; 274715811
4810;PATROCÍNIO; 173205088;  980723,50; 174185812
4820;PATROCÍNIO DO MURIAÉ;  14325976;  375925,00;  14701901
4830;PAULA CÂNDIDO;  18945143; 1148561,42;  20093704
4840;PAULISTAS;  13701347;  473324,29;  14174671
4850;PAVÃO;  16235009;  534000,00;  16769009
4860;PEÇANHA;  30811244;  178101,60;  30989345
4870;PEDRA AZUL;  46196924; 1436878,73;  47633802
4875;PEDRA BONITA;  18346683;  866980,29;  19213664
4880;PEDRA DO ANTA;  13658450;  272895,80;  13931346
4890;PEDRA DO INDAIÁ;  14372388;  847909,45;  15220297
4900;PEDRA DOURADA;  14074170;   80175,64;  14154345
4910;PEDRALVA;  21707070;  521630,49;  22228700
4915;PEDRAS DE MARIA DA CRUZ;  21728724;  705875,00;  22434599
4920;PEDRINÓPOLIS;  20800319;       0,00;  20800319
4930;PEDRO LEOPOLDO; 119126360; 3680408,20; 122806768
4940;PEDRO TEIXEIRA;  10182790;  117000,00;  10299790
4950;PEQUERI;  13934347;  704802,00;  14639149
4960;PEQUI;  14258589;       0,00;  14258589
4990;PERDÕES;  40198804; 1647370,80;  41846174
4970;PERDIGÃO;  22509935; 1359997,44;  23869933
4980;PERDIZES;  52395878; 1028395,06;  53424273
4995;PERIQUITO;  19061475; 2427533,89;  21489009
5000;PESCADOR;  13749397;  686086,30;  14435483
5010;PIAU;  12332979;  269055,89;  12602035
5015;PIEDADE DE CARATINGA;  18353291;  225000,00;  18578291
5020;PIEDADE DE PONTE NOVA;  13751630;  185180,48;  13936811
5030;PIEDADE DO RIO GRANDE;  14044718;  683654,00;  14728372
5040;PIEDADE DOS GERAIS;  14081415;  566500,00;  14647915
5050;PIMENTA;  19549371; 2038009,21;  21587380
5053;PINGO-D'ÁGUA;  13662002;  407041,62;  14069044
5057;PINTÓPOLIS;  17667582; 1263212,00;  18930794
5060;PIRACEMA;  14870025;       0,00;  14870025
5070;PIRAJUBA;  22034696; 1205219,97;  23239916
5080;PIRANGA;  27297683;  270000,00;  27567683
5090;PIRANGUÇU;  14201238;  507426,54;  14708665
5100;PIRANGUINHO;  17483075;  702850,00;  18185925
5110;PIRAPETINGA;  27155514; 2319169,80;  29474684
5120;PIRAPORA; 121123024;       0,00; 121123024
5130;PIRAÚBA;  21965132; 1272358,88;  23237491
5140;PITANGUI;  42214540; 1821435,63;  44035976
5150;PIUMHI;  58434350; 1882605,00;  60316955
5160;PLANURA;  29008621; 1224923,73;  30233544
5170;POÇO FUNDO;  29645831; 1304404,32;  30950235
5180;POÇOS DE CALDAS; 372786560; 7263523,69; 380050084
5190;POCRANE;  17100851;       0,00;  17100851
5200;POMPÉU;  58729059; 1612729,24;  60341789
5210;PONTE NOVA; 115255614; 2097953,29; 117353567
5213;PONTO CHIQUE;  14001142;  910419,57;  14911562
5217;PONTO DOS VOLANTES;  33234798;  662490,12;  33897289
5220;PORTEIRINHA;  62516044; 2238029,80;  64754074
5230;PORTO FIRME;  18227002; 1755310,00;  19982312
5240;POTÉ;  29815489; 7837923,00;  37653412
5250;POUSO ALEGRE; 350996987;   60000,00; 351056987
5260;POUSO ALTO;  17543138;  762000,00;  18305138
5270;PRADOS;  18072855;  873378,10;  18946233
5280;PRATA;  57397917; 2010837,19;  59408755
5290;PRATÁPOLIS;  18266353;  563825,00;  18830178
5300;PRATINHA;  14184153;  201580,00;  14385733
5310;PRESIDENTE BERNARDES;  14653450;       0,00;  14653450
5320;PRESIDENTE JUSCELINO;  14920459;       0,00;  14920459
5330;PRESIDENTE KUBITSCHEK;  13547167;    1500,00;  13548667
5340;PRESIDENTE OLEGÁRIO;  44648057; 2248922,96;  46896980
5360;PRUDENTE DE MORAIS;  22618490;  312650,00;  22931140
5370;QUARTEL GERAL;  14563882;  875339,94;  15439222
5380;QUELUZITO;  11618464;       0,00;  11618464
5390;RAPOSOS;  28162166; 1216200,00;  29378366
5400;RAUL SOARES;  41145298;  571861,56;  41717159
5410;RECREIO;  17904033;  958867,01;  18862900
5415;REDUTO;  15908048;  773000,00;  16681048
5420;RESENDE COSTA;  21764326; 1291381,69;  23055708
5430;RESPLENDOR;  37232560;  505154,74;  37737715
5440;RESSAQUINHA;  16024238;       0,00;  16024238
5445;RIACHINHO;  17507614;  379845,09;  17887459
5450;RIACHO DOS MACHADOS;  22665857;       0,00;  22665857
5460;RIBEIRÃO DAS NEVES; 334188667;12418513,29; 346607180
5470;RIBEIRÃO VERMELHO;  13260847;   36600,00;  13297447
5480;RIO ACIMA;  44919788;       0,00;  44919788
5490;RIO CASCA;  30955942;  461100,00;  31417042
5510;RIO DO PRADO;  14234529;  326440,68;  14560970
5500;RIO DOCE;  13453966;  743359,77;  14197326
5520;RIO ESPERA;  13789425;  149000,00;  13938425
5530;RIO MANSO;  14361497;  138129,13;  14499626
5540;RIO NOVO;  16935953; 1149463,18;  18085417
5550;RIO PARANAÍBA;  32234343;  460489,16;  32694832
5560;RIO PARDO DE MINAS;  53508887; 1538690,74;  55047577
5570;RIO PIRACICABA;  37629790;  825174,42;  38454965
5580;RIO POMBA;  33324995; 1167674,02;  34492669
5590;RIO PRETO;  15780891;  168059,74;  15948951
5600;RIO VERMELHO;  27733360;  786083,35;  28519443
5610;RITÁPOLIS;  13608326;  634478,87;  14242805
5620;ROCHEDO DE MINAS;  12606843;  199650,00;  12806493
5630;RODEIRO;NA;NA;         0
5640;ROMARIA;  17222253;  457563,94;  17679817
5645;ROSÁRIO DA LIMEIRA;  16043649;  319846,10;  16363495
5650;RUBELITA;  17075171;  210000,00;  17285171
5660;RUBIM;  23430578;       0,00;  23430578
5670;SABARÁ; 189758634; 4581748,88; 194340383
5680;SABINÓPOLIS;  27074754; 1229382,68;  28304137
5690;SACRAMENTO;  89009896; 3408324,08;  92418220
5700;SALINAS;  62947169; 4834229,26;  67781398
5710;SALTO DA DIVISA;  22502560;  841262,39;  23343822
5720;SANTA BÁRBARA;  83257298; 1838190,36;  85095489
5725;SANTA BÁRBARA DO LESTE;  16690357;  804592,00;  17494949
5727;SANTA BÁRBARA DO MONTE VERDE;  13363492;  233215,00;  13596707
5730;SANTA BÁRBARA DO TUGÚRIO;  14325878;       0,00;  14325878
5733;SANTA CRUZ DE MINAS;  14272554;  676386,50;  14948941
5737;SANTA CRUZ DE SALINAS;  14814880;  295620,00;  15110500
5740;SANTA CRUZ DO ESCALVADO;  15951916;  854652,43;  16806569
5750;SANTA EFIGÊNIA DE MINAS;  13918917;       0,00;  13918917
5760;SANTA FÉ DE MINAS;  13955131;  796098,05;  14751229
5765;SANTA HELENA DE MINAS;  14362854;  413133,50;  14775987
5770;SANTA JULIANA;  36454518;  871575,00;  37326093
5780;SANTA LUZIA; 279622830; 4145663,09; 283768493
5790;SANTA MARGARIDA;  30719851; 1750674,95;  32470526
5800;SANTA MARIA DE ITABIRA;  22831461;  869182,38;  23700644
5810;SANTA MARIA DO SALTO;  14785500;   81600,00;  14867100
5820;SANTA MARIA DO SUAÇUÍ;  27720138; 1362725,00;  29082863
5920;SANTA RITA DE CALDAS;  19070033;  460521,28;  19530555
5940;SANTA RITA DE IBITIPOCA;  13185590;  651114,00;  13836704
5930;SANTA RITA DE JACUTINGA;  14888208;  294646,81;  15182855
5935;SANTA RITA DE MINAS;  15774084;  831569,06;  16605653
5950;SANTA RITA DO ITUETO;  15842224;  235231,81;  16077456
5960;SANTA RITA DO SAPUCAÍ;  76065043;       0,00;  76065043
5970;SANTA ROSA DA SERRA;  13376539;   71511,69;  13448050
5980;SANTA VITÓRIA;  98495639; 1759752,78; 100255391
5830;SANTANA DA VARGEM;  17330395;  226650,51;  17557045
5840;SANTANA DE CATAGUASES;  13317480;  562115,75;  13879596
5850;SANTANA DE PIRAPAMA;  16446139;  795320,00;  17241459
5860;SANTANA DO DESERTO;  13940924;  154261,38;  14095185
5870;SANTANA DO GARAMBÉU;  12429500;  351550,00;  12781050
5880;SANTANA DO JACARÉ;  11746426;  509302,57;  12255729
5890;SANTANA DO MANHUAÇU;  16897884; 1110823,84;  18008708
5895;SANTANA DO PARAÍSO;  47593463; 1306700,00;  48900163
5900;SANTANA DO RIACHO;  14785179;  239999,88;  15025179
5910;SANTANA DOS MONTES;  13473768;       0,00;  13473768
5990;SANTO ANTÔNIO DO AMPARO;  39068596;  450255,00;  39518851
6000;SANTO ANTÔNIO DO AVENTUREIRO;  12938240;  859036,83;  13797277
6010;SANTO ANTÔNIO DO GRAMA;  14689984;  493475,00;  15183459
6020;SANTO ANTÔNIO DO ITAMBÉ;  14560139;  178750,00;  14738889
6030;SANTO ANTÔNIO DO JACINTO;  23209459; 1754463,00;  24963922
6040;SANTO ANTÔNIO DO MONTE;  50552381; 3093003,43;  53645384
6045;SANTO ANTÔNIO DO RETIRO;  19017643;  221059,79;  19238703
6050;SANTO ANTÔNIO DO RIO ABAIXO;  11820538;  252502,36;  12073040
6060;SANTO HIPÓLITO;  13193851; 3511175,14;  16705026
6070;SANTOS DUMONT;  70654063; 1597560,89;  72251624
6080;SÃO BENTO ABADE;  15128014;       0,00;  15128014
6090;SÃO BRÁS DO SUAÇUÍ;  17577892;   55000,00;  17632892
6095;SÃO DOMINGOS DAS DORES;  16442373;  302016,00;  16744389
6100;SÃO DOMINGOS DO PRATA;  32774132;  450461,41;  33224593
6105;SÃO FÉLIX DE MINAS;  15288324; 1075803,88;  16364128
6110;SÃO FRANCISCO;  78971515; 3466352,33;  82437867
6120;SÃO FRANCISCO DE PAULA;  14516906; 1475871,83;  15992778
6130;SÃO FRANCISCO DE SALES;  22933064; 1626145,99;  24559210
6140;SÃO FRANCISCO DO GLÓRIA;  13325911;  965732,74;  14291644
6150;SÃO GERALDO;  19939776; 1191103,30;  21130880
6160;SÃO GERALDO DA PIEDADE;  14446572; 2275127,94;  16721700
6165;SÃO GERALDO DO BAIXIO;  14126181;  805333,09;  14931514
6170;SÃO GONÇALO DO ABAETÉ;  24067046;  645276,24;  24712322
6180;SÃO GONÇALO DO PARÁ;  20836538; 1607942,57;  22444481
6190;SÃO GONÇALO DO RIO ABAIXO; 168773461;  653683,94; 169427145
2550;SÃO GONÇALO DO RIO PRETO;  14033934;  418184,09;  14452118
6200;SÃO GONÇALO DO SAPUCAÍ;  47421837;  847048,91;  48268886
6210;SÃO GOTARDO;  57447488; 1827723,58;  59275212
6220;SÃO JOÃO BATISTA DO GLÓRIA;  27852943;  236062,60;  28089006
6225;SÃO JOÃO DA LAGOA;  15083549;   99990,00;  15183539
6230;SÃO JOÃO DA MATA;  12422562;  563663,50;  12986225
6240;SÃO JOÃO DA PONTE;  50802359;  647119,45;  51449479
6245;SÃO JOÃO DAS MISSÕES;  24551612;  650000,00;  25201612
6250;SÃO JOÃO DEL REI; 128534043; 3826754,16; 132360797
6255;SÃO JOÃO DO MANHUAÇU;  23384686;  462852,33;  23847539
6257;SÃO JOÃO DO MANTENINHA;  16918055;   81595,47;  16999650
6260;SÃO JOÃO DO ORIENTE;  16128027;  496680,00;  16624707
