IBGE2;Município;Transf_Correntes;Transf_Capital;Receita_Total
7057;VARGEM ALEGRE;  14501292;       0,00;  14501292
7060;VARGEM BONITA;  13110038;  673425,76;  13783464
7065;VARGEM GRANDE DO RIO PARDO;  14522754;  909881,96;  15432636
7070;VARGINHA; 202400504; 5169459,33; 207569963
7075;VARJÃO DE MINAS;  18839596; 1172649,82;  20012246
7080;VÁRZEA DA PALMA;  65452965; 1344998,99;  66797964
7090;VARZELÂNDIA;  37346836;  690000,00;  38036836
7100;VAZANTE;  49499439;  189442,69;  49688881
7103;VERDELÂNDIA;  19611957;  814338,92;  20426296
7107;VEREDINHA;  15754622;  577131,13;  16331753
7110;VERÍSSIMO;  15494623;       0,00;  15494623
7115;VERMELHO NOVO;  15002970;       0,00;  15002970
7120;VESPASIANO; 178700100; 2466987,32; 181167087
7130;VIÇOSA; 117123049; 1140144,98; 118263194
7140;VIEIRAS;  14019563; 1171773,10;  15191336
7160;VIRGEM DA LAPA;  26296390; 9922372,20;  36218763
7170;VIRGÍNIA;  18352379; 2183970,43;  20536350
7180;VIRGINÓPOLIS;  23148531;       0,00;  23148531
7190;VIRGOLÂNDIA;  16481226;       0,00;  16481226
7200;VISCONDE DO RIO BRANCO;  61824748; 3098061,77;  64922810
7210;VOLTA GRANDE;  16132098;  160041,29;  16292139
7220;WENCESLAU BRAZ;  11638726;  697925,00;  12336651
